# Black Desert Online — Upgrade Silver Costs
# Reconciled: 2026-09-10
# Pipe-delimited UTF-8.
#
# THIS FILE HAS TWO DIFFERENT COST CONCEPTS:
# expected_one_level_cost_silver = RNG-aware mathematical enhancement estimate from BDO Workshop where available.
# market_upgrade_anchor_silver   = market/direct-purchase reference when an expected enhance cost is not safe to assert.
#
# cron_vendor_cost_per_attempt_silver is deterministic:
# Cron Stones are valued at 3,000,000 silver each when bought from the vendor.
#
# IMPORTANT FOR DATABASE SCORING:
# - Use expected_one_level_cost_silver when cost_confidence begins MODEL_ESTIMATE.
# - Treat it as a snapshot, not a timeless fact. Market inputs and failstack strategy change.
# - For NONMARKET_GATE rows, keep cost unscored rather than coercing blank to zero.
# - Apeiron market_upgrade_anchor_silver is the difference between official starting market-price tiers,
#   not a live expected enhancement cost.
#
# SOURCES:
# BDOWORKSHOP_SOV_2026        = https://bdoworkshop.com/
# BDOWORKSHOP_SLUMBERING_2026 = https://bdoworkshop.com/enhancement/3
# BDOWORKSHOP_EDANA_2026       = https://bdoworkshop.com/enhancement/10
# BDOWORKSHOP_KHARAZAD_2026    = https://www.bdoworkshop.com/enhancement/2
# BDOWORKSHOP_EKLETA_2026      = https://bdoworkshop.com/enhancement/17
# GARMOTH_APEIRON_2026         = https://garmoth.com/guides/post/ekleta-apeiron-accessories
# GARMOTH_EU_KABUA_2026        = https://garmoth.com/market/item/742269
# BDF_HERALDING_2026           = https://www.blackdesertfoundry.com/artifacts-and-lightstones-guide/
#
category|item_group|from_level|to_level|cron_stones_per_attempt|cron_vendor_cost_per_attempt_silver|expected_one_level_cost_silver|cost_model|market_upgrade_anchor_silver|cost_confidence|source_id|snapshot_notes
armor|Slumbering Origin Armor|+0|PRI (I)|0|0|498645621|BDO Workshop expected cost using its selected protection/origin strategy||MODEL_ESTIMATE|BDOWORKSHOP_SLUMBERING_2026|Applies to Fallen God/Labreska/Dahn/Ator. PEN is intentionally absurd; Edana conversion usually changes the practical path.
armor|Slumbering Origin Armor|PRI (I)|DUO (II)|1500|4500000000|1543993028|BDO Workshop expected cost using its selected protection/origin strategy||MODEL_ESTIMATE|BDOWORKSHOP_SLUMBERING_2026|Applies to Fallen God/Labreska/Dahn/Ator. PEN is intentionally absurd; Edana conversion usually changes the practical path.
armor|Slumbering Origin Armor|DUO (II)|TRI (III)|2100|6300000000|40797089219|BDO Workshop expected cost using its selected protection/origin strategy||MODEL_ESTIMATE|BDOWORKSHOP_SLUMBERING_2026|Applies to Fallen God/Labreska/Dahn/Ator. PEN is intentionally absurd; Edana conversion usually changes the practical path.
armor|Slumbering Origin Armor|TRI (III)|TET (IV)|2700|8100000000|103666968534|BDO Workshop expected cost using its selected protection/origin strategy||MODEL_ESTIMATE|BDOWORKSHOP_SLUMBERING_2026|Applies to Fallen God/Labreska/Dahn/Ator. PEN is intentionally absurd; Edana conversion usually changes the practical path.
armor|Slumbering Origin Armor|TET (IV)|PEN (V)|4000|12000000000|5934535599270|BDO Workshop expected cost using its selected protection/origin strategy||MODEL_ESTIMATE|BDOWORKSHOP_SLUMBERING_2026|Applies to Fallen God/Labreska/Dahn/Ator. PEN is intentionally absurd; Edana conversion usually changes the practical path.
armor|Edana Defense Gear|+0|PRI (I)|0|0|15253683324|BDO Workshop mathematical model; calculator assigns a silver-equivalent value to Edana's Black Stone||MODEL_ESTIMATE_NONMARKET_MATERIAL|BDOWORKSHOP_EDANA_2026|Piece of Edana is non-market/weekly-gated, so expected silver is a model valuation rather than a literal guaranteed cash cost.
armor|Edana Defense Gear|PRI (I)|DUO (II)|890|2670000000|25487543514|BDO Workshop mathematical model; calculator assigns a silver-equivalent value to Edana's Black Stone||MODEL_ESTIMATE_NONMARKET_MATERIAL|BDOWORKSHOP_EDANA_2026|Piece of Edana is non-market/weekly-gated, so expected silver is a model valuation rather than a literal guaranteed cash cost.
armor|Edana Defense Gear|DUO (II)|TRI (III)|910|2730000000|38011868594|BDO Workshop mathematical model; calculator assigns a silver-equivalent value to Edana's Black Stone||MODEL_ESTIMATE_NONMARKET_MATERIAL|BDOWORKSHOP_EDANA_2026|Piece of Edana is non-market/weekly-gated, so expected silver is a model valuation rather than a literal guaranteed cash cost.
armor|Edana Defense Gear|TRI (III)|TET (IV)|940|2820000000|52481851549|BDO Workshop mathematical model; calculator assigns a silver-equivalent value to Edana's Black Stone||MODEL_ESTIMATE_NONMARKET_MATERIAL|BDOWORKSHOP_EDANA_2026|Piece of Edana is non-market/weekly-gated, so expected silver is a model valuation rather than a literal guaranteed cash cost.
armor|Edana Defense Gear|TET (IV)|PEN (V)|970|2910000000|79940974132|BDO Workshop mathematical model; calculator assigns a silver-equivalent value to Edana's Black Stone||MODEL_ESTIMATE_NONMARKET_MATERIAL|BDOWORKSHOP_EDANA_2026|Piece of Edana is non-market/weekly-gated, so expected silver is a model valuation rather than a literal guaranteed cash cost.
armor|Edana Defense Gear|PEN (V)|HEX (VI)|1320|3960000000|169086347029|BDO Workshop mathematical model; calculator assigns a silver-equivalent value to Edana's Black Stone||MODEL_ESTIMATE_NONMARKET_MATERIAL|BDOWORKSHOP_EDANA_2026|Piece of Edana is non-market/weekly-gated, so expected silver is a model valuation rather than a literal guaranteed cash cost.
armor|Edana Defense Gear|HEX (VI)|SEP (VII)|1760|5280000000|215863147112|BDO Workshop mathematical model; calculator assigns a silver-equivalent value to Edana's Black Stone||MODEL_ESTIMATE_NONMARKET_MATERIAL|BDOWORKSHOP_EDANA_2026|Piece of Edana is non-market/weekly-gated, so expected silver is a model valuation rather than a literal guaranteed cash cost.
armor|Edana Defense Gear|SEP (VII)|OCT (VIII)|2250|6750000000|278956374030|BDO Workshop mathematical model; calculator assigns a silver-equivalent value to Edana's Black Stone||MODEL_ESTIMATE_NONMARKET_MATERIAL|BDOWORKSHOP_EDANA_2026|Piece of Edana is non-market/weekly-gated, so expected silver is a model valuation rather than a literal guaranteed cash cost.
armor|Edana Defense Gear|OCT (VIII)|NOV (IX)|2760|8280000000|623633204222|BDO Workshop mathematical model; calculator assigns a silver-equivalent value to Edana's Black Stone||MODEL_ESTIMATE_NONMARKET_MATERIAL|BDOWORKSHOP_EDANA_2026|Piece of Edana is non-market/weekly-gated, so expected silver is a model valuation rather than a literal guaranteed cash cost.
armor|Edana Defense Gear|NOV (IX)|DEC (X)|3280|9840000000|907847920163|BDO Workshop mathematical model; calculator assigns a silver-equivalent value to Edana's Black Stone||MODEL_ESTIMATE_NONMARKET_MATERIAL|BDOWORKSHOP_EDANA_2026|Piece of Edana is non-market/weekly-gated, so expected silver is a model valuation rather than a literal guaranteed cash cost.
accessory|Kharazad Accessories|+0|PRI (I)|0|0|110737538|BDO Workshop mathematical expected one-level enhancement cost||MODEL_ESTIMATE_CURRENT|BDOWORKSHOP_KHARAZAD_2026|Snapshot used Essence of Dawn 53.5m, Dawn Black Stone 30m and vendor Crons 3m.
accessory|Kharazad Accessories|PRI (I)|DUO (II)|120|360000000|501057966|BDO Workshop mathematical expected one-level enhancement cost||MODEL_ESTIMATE_CURRENT|BDOWORKSHOP_KHARAZAD_2026|Snapshot used Essence of Dawn 53.5m, Dawn Black Stone 30m and vendor Crons 3m.
accessory|Kharazad Accessories|DUO (II)|TRI (III)|280|840000000|1771641769|BDO Workshop mathematical expected one-level enhancement cost||MODEL_ESTIMATE_CURRENT|BDOWORKSHOP_KHARAZAD_2026|Snapshot used Essence of Dawn 53.5m, Dawn Black Stone 30m and vendor Crons 3m.
accessory|Kharazad Accessories|TRI (III)|TET (IV)|540|1620000000|4574893922|BDO Workshop mathematical expected one-level enhancement cost||MODEL_ESTIMATE_CURRENT|BDOWORKSHOP_KHARAZAD_2026|Snapshot used Essence of Dawn 53.5m, Dawn Black Stone 30m and vendor Crons 3m.
accessory|Kharazad Accessories|TET (IV)|PEN (V)|840|2520000000|11528276326|BDO Workshop mathematical expected one-level enhancement cost||MODEL_ESTIMATE_CURRENT|BDOWORKSHOP_KHARAZAD_2026|Snapshot used Essence of Dawn 53.5m, Dawn Black Stone 30m and vendor Crons 3m.
accessory|Kharazad Accessories|PEN (V)|HEX (VI)|1090|3270000000|18776629243|BDO Workshop mathematical expected one-level enhancement cost||MODEL_ESTIMATE_CURRENT|BDOWORKSHOP_KHARAZAD_2026|Snapshot used Essence of Dawn 53.5m, Dawn Black Stone 30m and vendor Crons 3m.
accessory|Kharazad Accessories|HEX (VI)|SEP (VII)|1480|4440000000|31076554733|BDO Workshop mathematical expected one-level enhancement cost||MODEL_ESTIMATE_CURRENT|BDOWORKSHOP_KHARAZAD_2026|Snapshot used Essence of Dawn 53.5m, Dawn Black Stone 30m and vendor Crons 3m.
accessory|Kharazad Accessories|SEP (VII)|OCT (VIII)|1880|5640000000|51395801378|BDO Workshop mathematical expected one-level enhancement cost||MODEL_ESTIMATE_CURRENT|BDOWORKSHOP_KHARAZAD_2026|Snapshot used Essence of Dawn 53.5m, Dawn Black Stone 30m and vendor Crons 3m.
accessory|Kharazad Accessories|OCT (VIII)|NOV (IX)|2850|8550000000|105297096403|BDO Workshop mathematical expected one-level enhancement cost||MODEL_ESTIMATE_CURRENT|BDOWORKSHOP_KHARAZAD_2026|Snapshot used Essence of Dawn 53.5m, Dawn Black Stone 30m and vendor Crons 3m.
accessory|Kharazad Accessories|NOV (IX)|DEC (X)|3650|10950000000|179681203994|BDO Workshop mathematical expected one-level enhancement cost||MODEL_ESTIMATE_CURRENT|BDOWORKSHOP_KHARAZAD_2026|Snapshot used Essence of Dawn 53.5m, Dawn Black Stone 30m and vendor Crons 3m.
accessory|Ekleta Necklace|+0|PRI (I)|0|0|13058519333|BDO Workshop mathematical expected one-level enhancement cost||MODEL_ESTIMATE_SLOT_SPECIFIC|BDOWORKSHOP_EKLETA_2026|Necklace snapshot. Do not blindly reuse expected costs for ring/earring/belt because Causality Shardstone valuation can differ by slot.
accessory|Ekleta Necklace|PRI (I)|DUO (II)|290|870000000|17081010178|BDO Workshop mathematical expected one-level enhancement cost||MODEL_ESTIMATE_SLOT_SPECIFIC|BDOWORKSHOP_EKLETA_2026|Necklace snapshot. Do not blindly reuse expected costs for ring/earring/belt because Causality Shardstone valuation can differ by slot.
accessory|Ekleta Necklace|DUO (II)|TRI (III)|590|1770000000|22592088613|BDO Workshop mathematical expected one-level enhancement cost||MODEL_ESTIMATE_SLOT_SPECIFIC|BDOWORKSHOP_EKLETA_2026|Necklace snapshot. Do not blindly reuse expected costs for ring/earring/belt because Causality Shardstone valuation can differ by slot.
accessory|Ekleta Necklace|TRI (III)|TET (IV)|960|2880000000|29951713040|BDO Workshop mathematical expected one-level enhancement cost||MODEL_ESTIMATE_SLOT_SPECIFIC|BDOWORKSHOP_EKLETA_2026|Necklace snapshot. Do not blindly reuse expected costs for ring/earring/belt because Causality Shardstone valuation can differ by slot.
accessory|Ekleta Necklace|TET (IV)|PEN (V)|1150|3450000000|36987751032|BDO Workshop mathematical expected one-level enhancement cost||MODEL_ESTIMATE_SLOT_SPECIFIC|BDOWORKSHOP_EKLETA_2026|Necklace snapshot. Do not blindly reuse expected costs for ring/earring/belt because Causality Shardstone valuation can differ by slot.
accessory|Ekleta Necklace|PEN (V)|HEX (VI)|1420|4260000000|47402661240|BDO Workshop mathematical expected one-level enhancement cost||MODEL_ESTIMATE_SLOT_SPECIFIC|BDOWORKSHOP_EKLETA_2026|Necklace snapshot. Do not blindly reuse expected costs for ring/earring/belt because Causality Shardstone valuation can differ by slot.
accessory|Ekleta Necklace|HEX (VI)|SEP (VII)|1590|4770000000|58854090335|BDO Workshop mathematical expected one-level enhancement cost||MODEL_ESTIMATE_SLOT_SPECIFIC|BDOWORKSHOP_EKLETA_2026|Necklace snapshot. Do not blindly reuse expected costs for ring/earring/belt because Causality Shardstone valuation can differ by slot.
accessory|Ekleta Necklace|SEP (VII)|OCT (VIII)|1780|5340000000|74810524001|BDO Workshop mathematical expected one-level enhancement cost||MODEL_ESTIMATE_SLOT_SPECIFIC|BDOWORKSHOP_EKLETA_2026|Necklace snapshot. Do not blindly reuse expected costs for ring/earring/belt because Causality Shardstone valuation can differ by slot.
accessory|Ekleta Necklace|OCT (VIII)|NOV (IX)|2790|8370000000|122882685332|BDO Workshop mathematical expected one-level enhancement cost||MODEL_ESTIMATE_SLOT_SPECIFIC|BDOWORKSHOP_EKLETA_2026|Necklace snapshot. Do not blindly reuse expected costs for ring/earring/belt because Causality Shardstone valuation can differ by slot.
accessory|Ekleta Necklace|NOV (IX)|DEC (X)|3130|9390000000|189487602751|BDO Workshop mathematical expected one-level enhancement cost||MODEL_ESTIMATE_SLOT_SPECIFIC|BDOWORKSHOP_EKLETA_2026|Necklace snapshot. Do not blindly reuse expected costs for ring/earring/belt because Causality Shardstone valuation can differ by slot.
accessory|Apeiron Accessories|+0|PRI (I)|0|0||Expected enhance cost intentionally blank; enhancement consumes another same-type base Apeiron|30000000000|MARKET_START_PRICE_ANCHOR|GARMOTH_APEIRON_2026|Official/guide starting market prices: 5000000000 -> 35000000000; actual EU market can move.
accessory|Apeiron Accessories|PRI (I)|DUO (II)|2160|6480000000||Expected enhance cost intentionally blank; enhancement consumes another same-type base Apeiron|60000000000|MARKET_START_PRICE_ANCHOR|GARMOTH_APEIRON_2026|Official/guide starting market prices: 35000000000 -> 95000000000; actual EU market can move.
accessory|Apeiron Accessories|DUO (II)|TRI (III)|2290|6870000000||Expected enhance cost intentionally blank; enhancement consumes another same-type base Apeiron|65000000000|MARKET_START_PRICE_ANCHOR|GARMOTH_APEIRON_2026|Official/guide starting market prices: 95000000000 -> 160000000000; actual EU market can move.
accessory|Apeiron Accessories|TRI (III)|TET (IV)|2490|7470000000||Expected enhance cost intentionally blank; enhancement consumes another same-type base Apeiron|70000000000|MARKET_START_PRICE_ANCHOR|GARMOTH_APEIRON_2026|Official/guide starting market prices: 160000000000 -> 230000000000; actual EU market can move.
accessory|Apeiron Accessories|TET (IV)|PEN (V)|2670|8010000000||Expected enhance cost intentionally blank; enhancement consumes another same-type base Apeiron|75000000000|MARKET_START_PRICE_ANCHOR|GARMOTH_APEIRON_2026|Official/guide starting market prices: 230000000000 -> 305000000000; actual EU market can move.
accessory|Apeiron Accessories|PEN (V)|HEX (VI)|2820|8460000000||Expected enhance cost intentionally blank; enhancement consumes another same-type base Apeiron|90000000000|MARKET_START_PRICE_ANCHOR|GARMOTH_APEIRON_2026|Official/guide starting market prices: 305000000000 -> 395000000000; actual EU market can move.
accessory|Apeiron Accessories|HEX (VI)|SEP (VII)|2980|8940000000||Expected enhance cost intentionally blank; enhancement consumes another same-type base Apeiron|95000000000|MARKET_START_PRICE_ANCHOR|GARMOTH_APEIRON_2026|Official/guide starting market prices: 395000000000 -> 490000000000; actual EU market can move.
accessory|Apeiron Accessories|SEP (VII)|OCT (VIII)|3050|9150000000||Expected enhance cost intentionally blank; enhancement consumes another same-type base Apeiron|110000000000|MARKET_START_PRICE_ANCHOR|GARMOTH_APEIRON_2026|Official/guide starting market prices: 490000000000 -> 600000000000; actual EU market can move.
accessory|Apeiron Accessories|OCT (VIII)|NOV (IX)|3290|9870000000||Expected enhance cost intentionally blank; enhancement consumes another same-type base Apeiron|130000000000|MARKET_START_PRICE_ANCHOR|GARMOTH_APEIRON_2026|Official/guide starting market prices: 600000000000 -> 730000000000; actual EU market can move.
accessory|Apeiron Accessories|NOV (IX)|DEC (X)|3620|10860000000||Expected enhance cost intentionally blank; enhancement consumes another same-type base Apeiron|200000000000|MARKET_START_PRICE_ANCHOR|GARMOTH_APEIRON_2026|Official/guide starting market prices: 730000000000 -> 930000000000; actual EU market can move.
artifact|Kabua's Artifact|NONE|BASE||||Current EU Central Market snapshot|9,350,000,000|LIVE_MARKET_SNAPSHOT|GARMOTH_EU_KABUA_2026|Kabua base artifact EU market snapshot on 2026-09-10.
artifact|Kabua's Artifact|BASE|Heralding Reform||||Silver-equivalent upgrade cost intentionally blank||NONMARKET_GATE|BDF_HERALDING_2026|Flawless Herald's Crystal recipe uses Herald's Crystal x100 + Sharp Black Crystal Shard x100 + Magical Shard x100 + Magical Lightstone Crystal x200; Herald's Crystal is Edania grind loot.
